지점명,일시,강수량(mm),1시간최다강수량(mm),1시간최다강수량시각
서울,2015.3.13,0.1,,
서울,2015.3.14,,,
서울,2015.3.15,,,
서울,2015.3.16,,,
서울,2015.3.17,0,,
서울,2015.3.18,1.5,,
서울,2015.3.19,,,
서울,2015.3.20,,,
서울,2015.3.21,,,
서울,2015.3.22,,,
서울,2015.3.23,,,
서울,2015.3.24,,,
서울,2015.3.25,,,
서울,2015.3.26,,,
서울,2015.3.27,,,
서울,2015.3.28,,,
서울,2015.3.29,,,
서울,2015.3.30,,,
서울,2015.3.31,2.5,,
서울,2015.4.1,2.5,2,1:12
서울,2015.4.2,28,16.5,20:22
서울,2015.4.3,3.5,2,0:28
서울,2015.4.4,0,0,
서울,2015.4.5,0.5,0.5,12:57
서울,2015.4.6,,,
서울,2015.4.7,0,0,
서울,2015.4.8,,,
서울,2015.4.9,,,
서울,2015.4.10,,,
서울,2015.4.11,,,
서울,2015.4.12,,,
서울,2015.4.13,6.5,2,20:40
서울,2015.4.14,10.5,2.5,7:03
서울,2015.4.15,1,0.5,0:01
서울,2015.4.16,7,4.5,13:21
서울,2015.4.17,,,
서울,2015.4.18,0,0,
서울,2015.4.19,12,3.5,11:01
서울,2015.4.20,5.5,1.5,1:46
서울,2015.4.21,,,
서울,2015.4.22,0,0,
서울,2015.4.23,,,
서울,2015.4.24,,,
서울,2015.4.25,,,
서울,2015.4.26,,,
서울,2015.4.27,,,
서울,2015.4.28,0,0,
서울,2015.4.29,3.5,1,7:41
서울,2015.4.30,,,
서울,2015.5.1,,,
서울,2015.5.2,0.5,0.5,21:31
서울,2015.5.3,3.5,2,3:27
서울,2015.5.4,,,
서울,2015.5.5,,,
서울,2015.5.6,,,
서울,2015.5.7,,,
서울,2015.5.8,,,
서울,2015.5.9,,,
서울,2015.5.10,,,
서울,2015.5.11,14,6.5,21:00
서울,2015.5.12,9.5,4,0:10
서울,2015.5.13,0,0,
서울,2015.5.14,,,
서울,2015.5.15,,,
서울,2015.5.16,,,
서울,2015.5.17,,,
서울,2015.5.18,,,
서울,2015.5.19,1,0.5,16:42
서울,2015.5.20,,,
서울,2015.5.21,,,
서울,2015.5.22,,,
서울,2015.5.23,,,
서울,2015.5.24,,,
서울,2015.5.25,,,
서울,2015.5.26,,,
서울,2015.5.27,,,
서울,2015.5.28,,,
서울,2015.5.29,,,
서울,2015.5.30,0.4,0.2,6:52
서울,2015.5.31,,,
서울,2015.6.1,,,
서울,2015.6.2,,,
서울,2015.6.3,,,
서울,2015.6.4,,,
서울,2015.6.5,1,0.5,13:03
서울,2015.6.6,,,
서울,2015.6.7,,,
서울,2015.6.8,,,
서울,2015.6.9,,,
서울,2015.6.10,,,
서울,2015.6.11,7.5,5.5,22:23
서울,2015.6.12,0.5,0.5,1:55
서울,2015.6.13,0.5,0.4,0:37
서울,2015.6.14,15.5,15,5:12
서울,2015.6.15,,,
서울,2015.6.16,,,
서울,2015.6.17,9.5,10.5,23:30
서울,2015.6.18,3,2.5,0:01
서울,2015.6.19,,,
서울,2015.6.20,44.5,25.5,9:30
서울,2015.6.21,,,
서울,2015.6.22,,,
서울,2015.6.23,,,
서울,2015.6.24,,,
서울,2015.6.25,2,1.1,20:33
서울,2015.6.26,12.5,4,1:53
서울,2015.6.27,,,
서울,2015.6.28,,,
서울,2015.6.29,0,0,
서울,2015.6.30,2.5,2,18:23
서울,2015.7.1,0.5,0.5,0:04
서울,2015.7.2,,,
서울,2015.7.3,,,
서울,2015.7.4,,,
서울,2015.7.5,,,
서울,2015.7.6,,,
서울,2015.7.7,,,
서울,2015.7.8,0.5,0.5,8:04
서울,2015.7.9,,,
서울,2015.7.10,,,
서울,2015.7.11,0,0,
서울,2015.7.12,29,4,11:10
서울,2015.7.13,10,2.5,1:44
서울,2015.7.14,,,
서울,2015.7.15,,,
서울,2015.7.16,,,
서울,2015.7.17,,,
서울,2015.7.18,0.5,0.5,17:39
서울,2015.7.19,5,2.5,1:45
서울,2015.7.20,,,
