,year,month,day,week,home,away,stadium,weather,temp,spec,date
159,2023,9,3,일,삼성,NC,대구 삼성 라이온즈 파크,구름많음,31.8℃,14601,2023-09-03
160,2023,9,3,일,키움,KT,서울고척스카이돔,비,28.8℃,5778,2023-09-03
161,2023,9,3,일,LG,한화,서울 잠실 야구장,비,28.8℃,22858,2023-09-03
162,2023,9,2,토,LG,한화,서울 잠실 야구장,구름조금,30.8℃,23574,2023-09-02
163,2023,9,2,토,SSG,KIA,인천SSG 랜더스필드,구름많음,29.1℃,23000,2023-09-02
164,2023,9,2,토,삼성,NC,대구 삼성 라이온즈 파크,비,28.9℃,20468,2023-09-02
165,2023,9,2,토,키움,KT,서울고척스카이돔,구름조금,30.8℃,6731,2023-09-02
166,2023,9,1,금,키움,KT,서울고척스카이돔,맑음,29.6℃,3746,2023-09-01
167,2023,9,1,금,삼성,NC,대구 삼성 라이온즈 파크,흐림,30.2℃,12843,2023-09-01
168,2023,9,1,금,SSG,KIA,인천SSG 랜더스필드,맑음,28.3℃,17281,2023-09-01
169,2023,9,1,금,LG,한화,서울 잠실 야구장,맑음,29.6℃,20381,2023-09-01
170,2023,8,31,목,한화,롯데,대전 한화생명 이글스파크,흐림,23.9℃,7179,2023-08-31
171,2023,8,31,목,KT,삼성,수원케이티위즈파크,흐림,23.9℃,8071,2023-08-31
172,2023,8,31,목,SSG,키움,인천SSG 랜더스필드,흐림,23.9℃,9780,2023-08-31
173,2023,8,31,목,LG,두산,서울 잠실 야구장,구름많음,28.9℃,17859,2023-08-31
174,2023,8,31,목,KIA,NC,광주-기아 챔피언스 필드,비,28.9℃,7152,2023-08-31
175,2023,8,30,수,SSG,키움,인천SSG 랜더스필드,비,24.3℃,7809,2023-08-30
176,2023,8,27,일,두산,SSG,서울 잠실 야구장,흐림,29.6℃,11300,2023-08-27
177,2023,8,27,일,롯데,KT,부산 사직 야구장,구름조금,32℃,10735,2023-08-27
178,2023,8,27,일,삼성,키움,대구 삼성 라이온즈 파크,비,30.9℃,13461,2023-08-27
179,2023,8,27,일,NC,LG,창원NC파크,구름많음,31.7℃,8771,2023-08-27
180,2023,8,27,일,KIA,한화,광주-기아 챔피언스 필드,구름조금,32.2℃,12627,2023-08-27
181,2023,8,26,토,KIA,한화,광주-기아 챔피언스 필드,맑음,32.3℃,16812,2023-08-26
182,2023,8,26,토,NC,LG,창원NC파크,맑음,32.1℃,13484,2023-08-26
183,2023,8,26,토,삼성,키움,대구 삼성 라이온즈 파크,맑음,32.8℃,17586,2023-08-26
184,2023,8,26,토,롯데,KT,부산 사직 야구장,맑음,31.1℃,15657,2023-08-26
185,2023,8,26,토,두산,SSG,서울 잠실 야구장,구름많음,30.3℃,15101,2023-08-26
186,2023,8,25,금,두산,SSG,서울 잠실 야구장,구름조금,30℃,8363,2023-08-25
187,2023,8,25,금,롯데,KT,부산 사직 야구장,구름조금,30.2℃,10709,2023-08-25
188,2023,8,25,금,삼성,키움,대구 삼성 라이온즈 파크,비,32.4℃,11135,2023-08-25
189,2023,8,25,금,NC,LG,창원NC파크,구름조금,32.4℃,9288,2023-08-25
190,2023,8,25,금,KIA,한화,광주-기아 챔피언스 필드,구름조금,31.2℃,8457,2023-08-25
191,2023,8,24,목,키움,두산,서울고척스카이돔,비,27.8℃,6819,2023-08-24
192,2023,8,24,목,KT,KIA,수원케이티위즈파크,비,29℃,9846,2023-08-24
193,2023,8,24,목,SSG,NC,인천SSG 랜더스필드,비,27℃,6683,2023-08-24
194,2023,8,24,목,LG,롯데,서울 잠실 야구장,비,27.8℃,15547,2023-08-24
195,2023,8,23,수,키움,두산,서울고척스카이돔,비,27.2℃,6455,2023-08-23
196,2023,8,22,화,KT,KIA,수원케이티위즈파크,비,32.2℃,7916,2023-08-22
197,2023,8,22,화,키움,두산,서울고척스카이돔,비,32.2℃,6455,2023-08-22
198,2023,8,22,화,한화,삼성,대전 한화생명 이글스파크,비,33.7℃,5806,2023-08-22
199,2023,8,20,일,한화,KT,대전 한화생명 이글스파크,구름많음,33.3℃,8762,2023-08-20
200,2023,8,20,일,삼성,KIA,대구 삼성 라이온즈 파크,비,33.5℃,12586,2023-08-20
201,2023,8,20,일,SSG,LG,인천SSG 랜더스필드,구름많음,30.1℃,18441,2023-08-20
202,2023,8,20,일,두산,NC,서울 잠실 야구장,구름많음,31.8℃,8286,2023-08-20
203,2023,8,20,일,키움,롯데,서울고척스카이돔,구름많음,31.8℃,12545,2023-08-20
204,2023,8,19,토,키움,롯데,서울고척스카이돔,구름조금,33.6℃,13423,2023-08-19
205,2023,8,19,토,두산,NC,서울 잠실 야구장,구름조금,33.6℃,12240,2023-08-19
206,2023,8,19,토,SSG,LG,인천SSG 랜더스필드,구름조금,30.8℃,23000,2023-08-19
207,2023,8,19,토,삼성,KIA,대구 삼성 라이온즈 파크,비,31.7℃,17448,2023-08-19
208,2023,8,19,토,한화,KT,대전 한화생명 이글스파크,구름조금,33.4℃,11606,2023-08-19
209,2023,8,18,금,한화,KT,대전 한화생명 이글스파크,비,33℃,7003,2023-08-18
210,2023,8,18,금,키움,롯데,서울고척스카이돔,비,33.3℃,8817,2023-08-18
211,2023,8,18,금,삼성,KIA,대구 삼성 라이온즈 파크,비,28.8℃,10630,2023-08-18
212,2023,8,18,금,SSG,LG,인천SSG 랜더스필드,구름조금,31.1℃,14549,2023-08-18
213,2023,8,17,목,두산,KT,서울 잠실 야구장,구름조금,32.4℃,4943,2023-08-17
214,2023,8,17,목,롯데,SSG,부산 사직 야구장,흐림,29℃,9843,2023-08-17
215,2023,8,17,목,삼성,LG,대구 삼성 라이온즈 파크,흐림,28.8℃,7415,2023-08-17
216,2023,8,17,목,NC,한화,창원NC파크,비,30.6℃,4875,2023-08-17
217,2023,8,17,목,KIA,키움,광주-기아 챔피언스 필드,구름많음,32.8℃,6159,2023-08-17
218,2023,8,16,수,두산,KT,서울 잠실 야구장,비,31.6℃,5160,2023-08-16
219,2023,8,16,수,롯데,SSG,부산 사직 야구장,흐림,27.7℃,10542,2023-08-16
220,2023,8,16,수,삼성,LG,대구 삼성 라이온즈 파크,비,33.3℃,7441,2023-08-16
221,2023,8,16,수,NC,한화,창원NC파크,구름많음,32.8℃,5033,2023-08-16
222,2023,8,16,수,KIA,키움,광주-기아 챔피언스 필드,구름조금,32.7℃,7050,2023-08-16
223,2023,8,15,화,KIA,키움,광주-기아 챔피언스 필드,구름많음,32.5℃,11541,2023-08-15
224,2023,8,15,화,NC,한화,창원NC파크,구름조금,33.5℃,10116,2023-08-15
225,2023,8,15,화,삼성,LG,대구 삼성 라이온즈 파크,구름조금,34℃,14248,2023-08-15
226,2023,8,15,화,롯데,SSG,부산 사직 야구장,구름조금,32.1℃,11871,2023-08-15
227,2023,8,15,화,두산,KT,서울 잠실 야구장,구름많음,32.7℃,11069,2023-08-15
228,2023,8,13,일,LG,키움,서울 잠실 야구장,흐림,31.1℃,18279,2023-08-13
229,2023,8,13,일,SSG,삼성,인천SSG 랜더스필드,구름많음,30.5℃,16473,2023-08-13
230,2023,8,13,일,롯데,KIA,부산 사직 야구장,구름조금,31℃,14325,2023-08-13
231,2023,8,13,일,KT,NC,수원케이티위즈파크,구름많음,31.7℃,9736,2023-08-13
232,2023,8,13,일,한화,두산,대전 한화생명 이글스파크,구름많음,32℃,11007,2023-08-13
233,2023,8,12,토,한화,두산,대전 한화생명 이글스파크,비,28.8℃,12000,2023-08-12
234,2023,8,12,토,KT,NC,수원케이티위즈파크,비,26.3℃,10138,2023-08-12
235,2023,8,12,토,롯데,KIA,부산 사직 야구장,구름많음,30℃,16677,2023-08-12
236,2023,8,12,토,SSG,삼성,인천SSG 랜더스필드,비,25.8℃,18055,2023-08-12
237,2023,8,12,토,LG,키움,서울 잠실 야구장,비,24.1℃,17624,2023-08-12
238,2023,8,11,금,LG,키움,서울 잠실 야구장,비,24.9℃,11910,2023-08-11
239,2023,8,11,금,SSG,삼성,인천SSG 랜더스필드,비,24.8℃,7495,2023-08-11
240,2023,8,11,금,롯데,KIA,부산 사직 야구장,맑음,30℃,10118,2023-08-11
241,2023,8,11,금,KT,NC,수원케이티위즈파크,비,26.6℃,5969,2023-08-11
242,2023,8,11,금,한화,두산,대전 한화생명 이글스파크,비,30℃,7333,2023-08-11
243,2023,8,10,목,키움,롯데,서울고척스카이돔,비,25.1℃,6240,2023-08-10
244,2023,8,9,수,키움,롯데,서울고척스카이돔,비,31.6℃,7424,2023-08-09
245,2023,8,9,수,KIA,LG,광주-기아 챔피언스 필드,비,29℃,3700,2023-08-09
246,2023,8,9,수,KT,한화,수원케이티위즈파크,비,31.9℃,10099,2023-08-09
247,2023,8,9,수,SSG,NC,인천SSG 랜더스필드,흐림,32.5℃,6473,2023-08-09
248,2023,8,9,수,두산,삼성,서울 잠실 야구장,비,31.6℃,8344,2023-08-09
249,2023,8,8,화,두산,삼성,서울 잠실 야구장,맑음,35.8℃,8519,2023-08-08
250,2023,8,8,화,SSG,NC,인천SSG 랜더스필드,구름조금,34.3℃,8131,2023-08-08
251,2023,8,8,화,KT,한화,수원케이티위즈파크,구름조금,34.8℃,9704,2023-08-08
252,2023,8,8,화,키움,롯데,서울고척스카이돔,맑음,35.8℃,8376,2023-08-08
253,2023,8,6,일,두산,KT,서울 잠실 야구장,비,33℃,6744,2023-08-06
254,2023,8,6,일,롯데,SSG,부산 사직 야구장,구름조금,34.7℃,8162,2023-08-06
255,2023,8,6,일,삼성,LG,대구 삼성 라이온즈 파크,구름조금,35.6℃,11446,2023-08-06
256,2023,8,6,일,NC,키움,창원NC파크,구름많음,35.2℃,6583,2023-08-06
257,2023,8,6,일,KIA,한화,광주-기아 챔피언스 필드,구름조금,35.6℃,10125,2023-08-06
258,2023,8,5,토,KIA,한화,광주-기아 챔피언스 필드,맑음,35.7℃,13487,2023-08-05
259,2023,8,5,토,두산,KT,서울 잠실 야구장,구름조금,34.9℃,8847,2023-08-05
